Countries or Regions,Currency Code,Billing Plan,Price,Year 1 Proceeds,Year 2 Proceeds
Afghanistan,USD,Upfront,9.99,8.49,8.49
Albania,USD,Upfront,11.99,8.49,8.49
Algeria,USD,Upfront,9.99,8.49,8.49
Angola,USD,Upfront,9.99,8.49,8.49
Anguilla,USD,Upfront,9.99,8.49,8.49
Antigua and Barbuda,USD,Upfront,9.99,8.49,8.49
Argentina,USD,Upfront,9.99,8.49,8.49
Armenia,USD,Upfront,11.99,8.49,8.49
Australia,AUD,Upfront,14.99,11.58,11.58
Austria,EUR,Upfront,9.99,7.08,7.08
Azerbaijan,USD,Upfront,11.99,8.64,8.64
Bahamas,USD,Upfront,9.99,7.72,7.72
Bahrain,USD,Upfront,9.99,7.72,7.72
Barbados,USD,Upfront,11.99,8.67,8.67
Belarus,USD,Upfront,11.99,8.49,8.49
Belgium,EUR,Upfront,9.99,7.02,7.02
Belize,USD,Upfront,9.99,8.49,8.49
Benin,USD,Upfront,11.99,8.64,8.64
Bermuda,USD,Upfront,9.99,8.49,8.49
Bhutan,USD,Upfront,9.99,8.09,8.09
Bolivia,USD,Upfront,9.99,8.49,8.49
Bosnia and Herzegovina,EUR,Upfront,9.99,7.26,7.26
Botswana,USD,Upfront,9.99,8.49,8.49
Brazil,BRL,Upfront,59.9,44.49,44.49
British Virgin Islands,USD,Upfront,9.99,8.49,8.49
Brunei,USD,Upfront,9.99,8.49,8.49
Bulgaria,EUR,Upfront,9.99,7.08,7.08
Burkina Faso,USD,Upfront,9.99,8.49,8.49
Cambodia,USD,Upfront,9.99,7.72,7.72
Cameroon,USD,Upfront,11.99,8.55,8.55
Canada,CAD,Upfront,12.99,11.04,11.04
Cape Verde,USD,Upfront,9.99,8.49,8.49
Cayman Islands,USD,Upfront,9.99,8.49,8.49
Chad,USD,Upfront,9.99,8.49,8.49
Chile,CLP,Upfront,9990,7136,7136
China mainland,CNY,Upfront,68.0,57.28,57.28
Colombia,COP,Upfront,49900.0,35642.86,35642.86
"Congo, Democratic Republic of the",USD,Upfront,9.99,8.49,8.49
