Countries or Regions,Currency Code,Billing Plan,Price,Year 1 Proceeds,Year 2 Proceeds
Afghanistan,USD,Upfront,49.99,42.49,42.49
Albania,USD,Upfront,59.99,42.49,42.49
Algeria,USD,Upfront,49.99,42.49,42.49
Angola,USD,Upfront,49.99,42.49,42.49
Anguilla,USD,Upfront,49.99,42.49,42.49
Antigua and Barbuda,USD,Upfront,49.99,42.49,42.49
Argentina,USD,Upfront,49.99,42.49,42.49
Armenia,USD,Upfront,59.99,42.49,42.49
Australia,AUD,Upfront,79.99,61.81,61.81
Austria,EUR,Upfront,59.99,42.49,42.49
Azerbaijan,USD,Upfront,59.99,43.21,43.21
Bahamas,USD,Upfront,49.99,38.63,38.63
Bahrain,USD,Upfront,49.99,38.63,38.63
Barbados,USD,Upfront,59.99,43.4,43.4
Belarus,USD,Upfront,59.99,42.49,42.49
Belgium,EUR,Upfront,59.99,42.14,42.14
Belize,USD,Upfront,49.99,42.49,42.49
Benin,USD,Upfront,59.99,43.21,43.21
Bermuda,USD,Upfront,49.99,42.49,42.49
Bhutan,USD,Upfront,49.99,40.47,40.47
Bolivia,USD,Upfront,49.99,42.49,42.49
Bosnia and Herzegovina,EUR,Upfront,59.99,43.58,43.58
Botswana,USD,Upfront,49.99,42.49,42.49
Brazil,BRL,Upfront,299.9,222.73,222.73
British Virgin Islands,USD,Upfront,49.99,42.49,42.49
Brunei,USD,Upfront,49.99,42.49,42.49
Bulgaria,EUR,Upfront,59.99,42.49,42.49
Burkina Faso,USD,Upfront,49.99,42.49,42.49
Cambodia,USD,Upfront,49.99,38.63,38.63
Cameroon,USD,Upfront,59.99,42.76,42.76
Canada,CAD,Upfront,69.99,59.49,59.49
Cape Verde,USD,Upfront,49.99,42.49,42.49
Cayman Islands,USD,Upfront,49.99,42.49,42.49
Chad,USD,Upfront,49.99,42.49,42.49
Chile,CLP,Upfront,59990,42850,42850
China mainland,CNY,Upfront,328.0,276.31,276.31
Colombia,COP,Upfront,229900.0,164214.29,164214.29
"Congo, Democratic Republic of the",USD,Upfront,49.99,42.49,42.49
"Congo, Republic of the",USD,Upfront,49.99,42.49,42.49
Costa Rica,USD,Upfront,49.99,42.49,42.49
Côte d’Ivoire,USD,Upfront,59.99,43.21,43.21
Croatia,EUR,Upfront,59.99,40.79,40.79
Cyprus,EUR,Upfront,59.99,42.85,42.85
Czech Republic,CZK,Upfront,1290.0,906.2,906.2
Denmark,DKK,Upfront,399.0,271.32,271.32
Dominica,USD,Upfront,49.99,42.49,42.49
Dominican Republic,USD,Upfront,49.99,42.49,42.49
Ecuador,USD,Upfront,49.99,42.49,42.49
Egypt,EGP,Upfront,2499.99,1864.03,1864.03
El Salvador,USD,Upfront,49.99,42.49,42.49
Estonia,EUR,Upfront,59.99,41.12,41.12
Eswatini,USD,Upfront,49.99,42.49,42.49
Fiji,USD,Upfront,49.99,42.49,42.49
Finland,EUR,Upfront,59.99,40.63,40.63
France,EUR,Upfront,59.99,42.49,42.49
Gabon,USD,Upfront,49.99,42.49,42.49
Gambia,USD,Upfront,49.99,42.49,42.49
Georgia,USD,Upfront,59.99,43.21,43.21
Germany,EUR,Upfront,59.99,42.85,42.85
Ghana,USD,Upfront,59.99,42.49,42.49
Greece,EUR,Upfront,59.99,41.12,41.12
Grenada,USD,Upfront,49.99,42.49,42.49
Guatemala,USD,Upfront,49.99,42.49,42.49
Guinea-Bissau,USD,Upfront,49.99,42.49,42.49
Guyana,USD,Upfront,49.99,42.49,42.49
Honduras,USD,Upfront,49.99,42.49,42.49
Hong Kong,HKD,Upfront,388.0,329.8,329.8
Hungary,HUF,Upfront,22990,15387,15387
Iceland,USD,Upfront,59.99,41.12,41.12
India,INR,Upfront,1999.0,1439.96,1439.96
Indonesia,IDR,Upfront,799000,611847,611847
Iraq,USD,Upfront,49.99,42.49,42.49
Ireland,EUR,Upfront,59.99,41.46,41.46
Israel,ILS,Upfront,179.9,152.92,152.92
Italy,EUR,Upfront,59.99,41.63,41.63
Jamaica,USD,Upfront,49.99,42.49,42.49
Japan,JPY,Upfront,8000,6182,6182
Jordan,USD,Upfront,49.99,42.49,42.49
Kazakhstan,KZT,Upfront,29990.0,21975.43,21975.43
Kenya,USD,Upfront,59.99,43.86,43.86
"Korea, Republic of",KRW,Upfront,77000,59500,59500
Kosovo,EUR,Upfront,59.99,43.21,43.21
Kuwait,USD,Upfront,49.99,42.49,42.49
Kyrgyzstan,USD,Upfront,49.99,37.94,37.94
Laos,USD,Upfront,49.99,38.63,38.63
Latvia,EUR,Upfront,59.99,42.14,42.14
Lebanon,USD,Upfront,49.99,42.49,42.49
Liberia,USD,Upfront,49.99,42.49,42.49
Libya,USD,Upfront,49.99,42.49,42.49
Lithuania,EUR,Upfront,59.99,42.14,42.14
Luxembourg,EUR,Upfront,59.99,43.58,43.58
Macau,USD,Upfront,49.99,42.49,42.49
Madagascar,USD,Upfront,49.99,42.49,42.49
Malawi,USD,Upfront,49.99,42.49,42.49
Malaysia,MYR,Upfront,229.9,180.94,180.94
Maldives,USD,Upfront,49.99,42.49,42.49
Mali,USD,Upfront,49.99,42.49,42.49
Malta,EUR,Upfront,59.99,43.21,43.21
Mauritania,USD,Upfront,49.99,42.49,42.49
Mauritius,USD,Upfront,59.99,44.34,44.34
Mexico,MXN,Upfront,999.0,732.03,732.03
Micronesia,USD,Upfront,49.99,42.49,42.49
Moldova,USD,Upfront,59.99,42.49,42.49
Mongolia,USD,Upfront,49.99,42.49,42.49
Montenegro,EUR,Upfront,49.99,42.49,42.49
Montserrat,USD,Upfront,49.99,42.49,42.49
Morocco,USD,Upfront,49.99,42.49,42.49
Mozambique,USD,Upfront,49.99,42.49,42.49
Myanmar,USD,Upfront,49.99,42.49,42.49
Namibia,USD,Upfront,49.99,42.49,42.49
Nauru,USD,Upfront,49.99,42.49,42.49
Nepal,USD,Upfront,59.99,44.22,44.22
Netherlands,EUR,Upfront,59.99,42.14,42.14
New Zealand,NZD,Upfront,99.99,73.91,73.91
Nicaragua,USD,Upfront,49.99,42.49,42.49
Niger,USD,Upfront,49.99,42.49,42.49
Nigeria,NGN,Upfront,79900.0,63176.74,63176.74
North Macedonia,USD,Upfront,49.99,42.49,42.49
Norway,NOK,Upfront,599.0,407.32,407.32
Oman,USD,Upfront,49.99,40.47,40.47
Pakistan,PKR,Upfront,12900.0,10965.0,10965.0
Palau,USD,Upfront,49.99,42.49,42.49
Panama,USD,Upfront,49.99,42.49,42.49
Papua New Guinea,USD,Upfront,49.99,42.49,42.49
Paraguay,USD,Upfront,49.99,42.49,42.49
Peru,PEN,Upfront,229.9,165.61,165.61
Philippines,PHP,Upfront,2990.0,2269.2,2269.2
Poland,PLN,Upfront,229.99,158.94,158.94
Portugal,EUR,Upfront,59.99,41.46,41.46
Qatar,QAR,Upfront,199.99,169.99,169.99
Romania,RON,Upfront,299.99,210.74,210.74
Russia,RUB,Upfront,4490.0,3128.28,3128.28
Rwanda,USD,Upfront,49.99,42.49,42.49
São Tomé and Príncipe,USD,Upfront,49.99,42.49,42.49
Saudi Arabia,SAR,Upfront,199.99,147.82,147.82
Senegal,USD,Upfront,59.99,43.21,43.21
Serbia,EUR,Upfront,59.99,42.49,42.49
Seychelles,USD,Upfront,49.99,42.49,42.49
Sierra Leone,USD,Upfront,49.99,42.49,42.49
Singapore,SGD,Upfront,69.98,54.57,54.57
Slovakia,EUR,Upfront,59.99,41.46,41.46
Slovenia,EUR,Upfront,59.99,41.8,41.8
Solomon Islands,USD,Upfront,49.99,42.49,42.49
